id,title,date
1,Toy Story (1995),788918400
2,GoldenEye (1995),788918400
3,Four Rooms (1995),788918400
4,Get Shorty (1995),788918400
5,Copycat (1995),788918400
6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),788918400
7,Twelve Monkeys (1995),788918400
8,Babe (1995),788918400
9,Dead Man Walking (1995),788918400
10,Richard III (1995),822268800
11,Seven (Se7en) (1995),788918400
12,The Usual Suspects (1995),808358400
13,Mighty Aphrodite (1995),815011200
14,Postino Il (1994),757382400
15,Mr. Holland's Opus (1995),822873600
16,French Twist (Gazon maudit) (1995),788918400
17,From Dusk Till Dawn (1996),823478400
18,The White Balloon (1995),788918400
19,Antonia's Line (1995),788918400
20,Angels and Insects (1995),788918400
21,Muppet Treasure Island (1996),824428800
22,Braveheart (1995),824428800
23,Taxi Driver (1976),824428800
24,Rumble in the Bronx (1995),825033600
25,The Birdcage (1996),826243200
26,The Brothers McMullen (1995),788918400
27,Bad Boys (1995),788918400
28,Apollo 13 (1995),788918400
29,Batman Forever (1995),788918400
30,Belle de jour (1967),-94694400
31,Crimson Tide (1995),788918400
32,Crumb (1994),757382400
33,Desperado (1995),788918400
34,The Doom Generation (1995),788918400
35,Free Willy 2: The Adventure Home (1995),788918400
36,Mad Love (1995),788918400
37,Nadja (1994),757382400
38,The Net (1995),788918400
39,Strange Days (1995),788918400
40,To Wong Foo Thanks for Everything! Julie Newmar (1995),788918400
41,Billy Madison (1995),788918400
42,Clerks (1994),757382400
43,Disclosure (1994),757382400
44,Dolores Claiborne (1994),757382400
45,Eat Drink Man Woman (1994),757382400
46,Exotica (1994),757382400
47,Ed Wood (1994),757382400
48,Hoop Dreams (1994),757382400
49,I.Q. (1994),757382400
50,Star Wars (1977),220924800
51,Legends of the Fall (1994),757382400
52,The Madness of King George (1994),757382400
53,Natural Born Killers (1994),757382400
54,Outbreak (1995),788918400
55,The Professional (1994),757382400
56,Pulp Fiction (1994),757382400
57,Priest (1994),757382400
58,Quiz Show (1994),757382400
59,Three Colors: Red (1994),757382400
60,Three Colors: Blue (1993),725846400
61,Three Colors: White (1994),757382400
62,Stargate (1994),757382400
63,The Santa Clause (1994),757382400
64,The Shawshank Redemption (1994),757382400
65,What's Eating Gilbert Grape (1993),725846400
66,While You Were Sleeping (1995),788918400
67,Ace Ventura: Pet Detective (1994),757382400
68,The Crow (1994),757382400
69,Forrest Gump (1994),757382400
70,Four Weddings and a Funeral (1994),757382400
71,The Lion King (1994),757382400
72,The Mask (1994),757382400
73,Maverick (1994),757382400
74,Faster Pussycat! Kill! Kill! (1965),-157766400
75,Brother Minister: The Assassination of Malcolm X (1994),757382400
76,Carlito's Way (1993),725846400
77,The Firm (1993),725846400
78,Free Willy (1993),725846400
79,The Fugitive (1993),725846400
80,Hot Shots! Part Deux (1993),725846400
81,The Hudsucker Proxy (1994),757382400
82,Jurassic Park (1993),725846400
83,Much Ado About Nothing (1993),725846400
84,Robert A. Heinlein's The Puppet Masters (1994),757382400
85,The Ref (1994),757382400
86,The Remains of the Day (1993),725846400
87,Searching for Bobby Fischer (1993),725846400
88,Sleepless in Seattle (1993),725846400
89,Blade Runner (1982),378691200
90,So I Married an Axe Murderer (1993),725846400
91,The Nightmare Before Christmas (1993),725846400
92,True Romance (1993),725846400
93,Welcome to the Dollhouse (1995),832896000
94,Home Alone (1990),631152000
95,Aladdin (1992),694224000
96,Terminator 2: Judgment Day (1991),662688000
97,Dances with Wolves (1990),631152000
98,The Silence of the Lambs (1991),662688000
99,Snow White and the Seven Dwarfs (1937),-1041379200
100,Fargo (1996),855878400
101,Heavy Metal (1981),352857600
102,The Aristocats (1970),0
103,All Dogs Go to Heaven 2 (1996),828057600
104,Theodore Rex (1995),828057600
105,Sgt. Bilko (1996),828057600
106,Diabolique (1996),820454400
107,Moll Flanders (1996),834710400
108,Kids in the Hall: Brain Candy (1996),829267200
109,Mystery Science Theater 3000: The Movie (1996),829872000
110,Operation Dumbo Drop (1995),788918400
111,The Truth About Cats & Dogs (1996),830476800
112,Flipper (1996),831686400
113,The Horseman on the Roof (Le Hussard sur le toit) (1995),829872000
114,Wallace & Gromit: The Best of Aardman Animation (1996),828662400
115,The Haunted World of Edward D. Wood Jr. (1995),830476800
116,Cold Comfort Farm (1995),830217600
117,The Rock (1996),834105600
118,Twister (1996),831686400
119,Maya Lin: A Strong Clear Vision (1994),757382400
120,Striptease (1996),835920000
121,Independence Day (ID4) (1996),836352000
122,The Cable Guy (1996),834710400
123,The Frighteners (1996),837734400
124,Lone Star (1996),835315200
125,Phenomenon (1996),836006400
126,Spitfire Grill (1996),841968000
127,The Godfather (1972),63072000
128,Supercop (1992),838339200
129,Bound (1996),844387200
130,Kansas City (1996),840153600
131,Breakfast at Tiffany's (1961),-283996800
132,The Wizard of Oz (1939),-978307200
133,Gone with the Wind (1939),-978307200
134,Citizen Kane (1941),-915148800
135,2001: A Space Odyssey (1968),-63158400
136,Mr. Smith Goes to Washington (1939),-978307200
137,Big Night (1996),843177600
138,D3: The Mighty Ducks (1996),844387200
139,The Love Bug (1969),-31536000
140,Homeward Bound: The Incredible Journey (1993),725846400
141,20.000 Leagues Under the Sea (1954),-504921600
142,Bedknobs and Broomsticks (1971),31536000
143,The Sound of Music (1965),-157766400
144,Die Hard (1988),567993600
145,The Lawnmower Man (1992),694224000
146,Unhook the Stars (1996),846633600
147,The Long Kiss Goodnight (1996),844473600
148,The Ghost and the Darkness (1996),844992000
149,Jude (1996),846806400
150,Swingers (1996),845596800
151,Willy Wonka and the Chocolate Factory (1971),31536000
152,Sleeper (1973),94694400
153,Fish Called Wanda A (1988),567993600
154,Monty Python's Life of Brian (1979),283996800
155,Dirty Dancing (1987),536457600
156,Reservoir Dogs (1992),694224000
157,Platoon (1986),504921600
158,Weekend at Bernie's (1989),599616000
159,Basic Instinct (1992),694224000
160,Glengarry Glen Ross (1992),694224000
161,Top Gun (1986),504921600
162,On Golden Pond (1981),347155200
163,The Return of the Pink Panther (1974),126230400
164,The Abyss (1989),599616000
165,Jean de Florette (1986),504921600
166,Manon of the Spring (Manon des sources) (1986),504921600
167,Private Benjamin (1980),315532800
168,Monty Python and the Holy Grail (1974),126230400
169,The Wrong Trousers (1993),725846400
170,Cinema Paradiso (1988),567993600
171,Delicatessen (1991),662688000
172,The Empire Strikes Back (1980),315532800
173,The Princess Bride (1987),536457600
174,Raiders of the Lost Ark (1981),347155200
175,Brazil (1985),473385600
176,Aliens (1986),504921600
177,The Good The Bad and The Ugly (1966),-126230400
178,12 Angry Men (1957),-410227200
179,A Clockwork Orange (1971),31536000
180,Apocalypse Now (1979),283996800
181,Return of the Jedi (1983),858297600
182,GoodFellas (1990),631152000
183,Alien (1979),283996800
